Timestamp,Temperature_C,pH,TDS_ppm,Turbidity_NTU
2026-06-25 06:50:00,17.52,7.82,370.0,8.3
2026-06-25 06:55:00,17.33,7.91,372.8,10.1
2026-06-25 07:00:00,17.3,7.88,371.5,11.3
2026-06-25 07:05:00,17.53,7.83,372.2,13.5
2026-06-25 07:10:00,17.4,7.88,373.9,8.1
2026-06-25 07:15:00,17.56,7.93,375.5,8.7
2026-06-25 07:20:00,17.7,7.85,371.8,11.9
2026-06-25 07:25:00,17.31,7.88,371.8,13.4
2026-06-25 07:30:00,17.65,7.93,372.2,10.3
2026-06-25 07:35:00,18.01,7.88,373.0,8.7
2026-06-25 07:40:00,17.86,7.91,374.9,13.5
2026-06-25 07:45:00,17.74,7.95,374.7,14.4
2026-06-25 07:50:00,18.08,7.9,374.2,11.3
2026-06-25 07:55:00,18.06,7.82,374.3,10.8
2026-06-25 08:00:00,17.97,7.87,375.0,10.8
2026-06-25 08:05:00,18.35,8.01,374.2,11.0
2026-06-25 08:10:00,18.48,7.86,372.1,11.3
2026-06-25 08:15:00,18.3,7.87,374.7,8.6
2026-06-25 08:20:00,18.71,7.89,373.6,8.0
2026-06-25 08:25:00,18.39,7.85,374.8,11.0
2026-06-25 08:30:00,18.5,7.83,373.8,11.0
2026-06-25 08:35:00,18.81,7.89,372.7,8.7
2026-06-25 08:40:00,18.88,7.96,374.7,12.9
2026-06-25 08:45:00,19.01,7.96,374.7,11.0
2026-06-25 08:50:00,18.6,7.99,373.2,12.9
2026-06-25 08:55:00,19.12,7.99,374.3,5.9
2026-06-25 09:00:00,18.53,7.92,371.0,8.7
2026-06-25 09:05:00,19.47,7.96,373.0,11.7
2026-06-25 09:10:00,19.42,7.93,373.5,10.6
2026-06-25 09:15:00,19.36,7.97,372.5,11.9
2026-06-25 09:20:00,19.05,7.97,374.6,8.9
2026-06-25 09:25:00,19.55,7.89,375.5,9.3
2026-06-25 09:30:00,19.53,7.99,373.7,13.0
2026-06-25 09:35:00,19.73,8.04,374.2,8.4
2026-06-25 09:40:00,19.83,8.02,373.9,9.2
2026-06-25 09:45:00,19.83,8.01,374.8,10.7
2026-06-25 09:50:00,19.98,7.95,376.8,9.7
2026-06-25 09:55:00,19.86,8.01,373.5,7.9
2026-06-25 10:00:00,20.29,7.95,371.8,10.2
2026-06-25 10:05:00,20.13,7.99,373.1,8.3
2026-06-25 10:10:00,20.12,7.95,373.1,8.8
2026-06-25 10:15:00,20.31,7.98,373.4,9.0
2026-06-25 10:20:00,20.38,7.98,374.8,9.9
2026-06-25 10:25:00,20.53,8.02,372.5,10.2
2026-06-25 10:30:00,20.22,7.89,372.6,10.1
2026-06-25 10:35:00,20.21,7.92,375.2,11.2
2026-06-25 10:40:00,20.71,8.05,372.2,6.9
2026-06-25 10:45:00,20.75,8.02,374.0,13.3
2026-06-25 10:50:00,20.58,7.98,376.0,9.0
2026-06-25 10:55:00,20.32,7.99,374.2,10.7
2026-06-25 11:00:00,20.74,8.01,375.4,10.6
2026-06-25 11:05:00,20.92,7.98,372.2,13.1
2026-06-25 11:10:00,21.07,7.97,374.2,13.0
2026-06-25 11:15:00,21.0,7.99,375.0,10.5
2026-06-25 11:20:00,21.41,7.96,373.4,12.6
2026-06-25 11:25:00,21.26,8.02,378.6,11.2
2026-06-25 11:30:00,21.24,8.07,374.1,7.4
2026-06-25 11:35:00,21.19,8.1,374.3,8.5
2026-06-25 11:40:00,21.65,8.07,371.2,13.9
2026-06-25 11:45:00,21.53,8.03,375.6,7.6
2026-06-25 11:50:00,21.17,8.0,375.3,8.8
2026-06-25 11:55:00,21.41,8.1,372.0,9.5
2026-06-25 12:00:00,21.37,7.99,376.2,9.1
2026-06-25 12:05:00,21.46,8.11,375.5,8.4
2026-06-25 12:10:00,21.59,8.06,378.5,6.9
2026-06-25 12:15:00,21.88,8.02,375.9,10.4
2026-06-25 12:20:00,21.76,8.06,374.8,86.0
2026-06-25 12:25:00,21.7,8.01,377.5,84.6
2026-06-25 12:30:00,21.9,8.02,376.9,83.5
2026-06-25 12:35:00,21.95,8.07,378.1,84.4
2026-06-25 12:40:00,21.98,8.02,377.1,85.6
2026-06-25 12:45:00,21.84,8.06,376.8,86.2
2026-06-25 12:50:00,22.0,8.17,377.6,89.6
2026-06-25 12:55:00,22.15,7.97,378.3,84.9
2026-06-25 13:00:00,21.8,8.06,378.2,88.2
2026-06-25 13:05:00,22.07,8.08,378.6,84.3
2026-06-25 13:10:00,22.01,7.95,376.4,84.0
2026-06-25 13:15:00,22.49,8.06,378.1,85.0
2026-06-25 13:20:00,21.73,8.07,376.4,10.5
2026-06-25 13:25:00,22.11,8.11,379.9,8.6
2026-06-25 13:30:00,22.31,8.16,379.4,15.2
2026-06-25 13:35:00,22.56,8.09,378.3,13.1
2026-06-25 13:40:00,22.5,8.08,379.3,11.4
2026-06-25 13:45:00,22.27,8.13,378.8,11.5
2026-06-25 13:50:00,22.28,8.0,379.7,7.9
2026-06-25 13:55:00,22.44,8.09,379.2,9.6
2026-06-25 14:00:00,22.69,8.14,379.4,9.6
2026-06-25 14:05:00,22.33,8.15,381.9,11.1
2026-06-25 14:10:00,22.03,8.23,381.3,10.9
2026-06-25 14:15:00,22.53,8.19,382.3,7.7
2026-06-25 14:20:00,22.72,8.19,383.2,9.3
2026-06-25 14:25:00,22.24,8.13,379.4,12.4
2026-06-25 14:30:00,22.38,8.12,381.0,88.0
2026-06-25 14:35:00,22.64,8.11,383.6,92.6
2026-06-25 14:40:00,22.06,8.14,383.9,90.8
2026-06-25 14:45:00,22.75,8.08,383.0,91.7
2026-06-25 14:50:00,22.66,8.21,380.4,92.1
2026-06-25 14:55:00,22.46,8.12,383.8,91.7
2026-06-25 15:00:00,22.52,8.12,383.9,89.8
2026-06-25 15:05:00,22.59,8.19,386.5,91.3
2026-06-25 15:10:00,22.35,8.1,382.2,90.3
2026-06-25 15:15:00,22.57,8.26,382.9,88.2
2026-06-25 15:20:00,22.71,8.09,380.9,94.3
2026-06-25 15:25:00,22.68,8.15,380.4,90.3
2026-06-25 15:30:00,22.47,8.2,381.6,9.1
2026-06-25 15:35:00,22.57,8.23,384.0,13.1
2026-06-25 15:40:00,22.26,8.14,384.0,8.1
2026-06-25 15:45:00,22.53,8.21,380.2,9.9
2026-06-25 15:50:00,22.3,8.17,383.9,11.6
2026-06-25 15:55:00,22.15,8.21,384.7,13.0
2026-06-25 16:00:00,22.24,8.2,385.0,15.5
2026-06-25 16:05:00,22.62,8.12,383.2,9.6
2026-06-25 16:10:00,22.35,8.07,386.9,11.8
2026-06-25 16:15:00,22.21,8.11,379.9,9.4
2026-06-25 16:20:00,21.93,8.13,382.1,10.9
2026-06-25 16:25:00,22.1,8.11,381.3,14.1
2026-06-25 16:30:00,22.27,8.1,379.0,10.1
2026-06-25 16:35:00,22.29,8.19,380.3,11.0
2026-06-25 16:40:00,22.37,8.18,377.9,10.1
2026-06-25 16:45:00,21.94,8.15,382.9,11.8
2026-06-25 16:50:00,22.28,8.15,384.0,12.9
2026-06-25 16:55:00,22.25,8.13,380.8,12.2
2026-06-25 17:00:00,22.23,8.21,381.7,10.3
2026-06-25 17:05:00,21.95,8.27,380.6,11.3
2026-06-25 17:10:00,21.59,8.18,380.1,9.7
2026-06-25 17:15:00,22.12,8.18,380.1,11.2
2026-06-25 17:20:00,21.84,8.1,378.6,11.0
2026-06-25 17:25:00,21.96,8.14,384.8,12.3
2026-06-25 17:30:00,21.49,8.24,379.3,12.4
2026-06-25 17:35:00,21.48,8.19,376.8,9.3
2026-06-25 17:40:00,21.81,8.07,381.2,11.3
2026-06-25 17:45:00,21.46,8.14,378.7,13.3
2026-06-25 17:50:00,21.58,8.21,382.3,11.5
2026-06-25 17:55:00,21.66,8.12,380.6,9.7
2026-06-25 18:00:00,21.4,8.13,382.5,12.4
2026-06-25 18:05:00,21.54,8.17,381.1,5.6
2026-06-25 18:10:00,21.27,8.16,380.7,10.3
2026-06-25 18:15:00,21.53,8.15,380.2,13.7
2026-06-25 18:20:00,21.01,8.2,379.8,10.3
2026-06-25 18:25:00,21.25,8.17,378.7,7.6
2026-06-25 18:30:00,21.06,8.2,377.5,12.4
2026-06-25 18:35:00,21.04,8.18,377.8,11.0
2026-06-25 18:40:00,20.83,8.22,379.0,5.3
2026-06-25 18:45:00,20.92,8.07,380.0,7.7
2026-06-25 18:50:00,21.03,8.09,378.4,13.0
2026-06-25 18:55:00,20.75,8.23,380.4,8.6
2026-06-25 19:00:00,21.05,8.21,378.8,11.2
2026-06-25 19:05:00,20.72,8.14,379.3,15.1
2026-06-25 19:10:00,20.72,8.12,376.9,15.5
2026-06-25 19:15:00,20.43,8.06,376.2,10.4
2026-06-25 19:20:00,20.58,8.17,377.0,11.8
2026-06-25 19:25:00,20.2,8.18,376.8,10.7
2026-06-25 19:30:00,20.4,8.18,376.4,9.0
2026-06-25 19:35:00,20.46,8.13,374.6,8.8
2026-06-25 19:40:00,20.32,8.22,374.1,9.9
2026-06-25 19:45:00,20.23,8.15,373.1,10.0
2026-06-25 19:50:00,20.1,8.14,375.9,12.1
2026-06-25 19:55:00,20.31,8.12,374.3,11.2
2026-06-25 20:00:00,19.84,8.09,378.0,8.2
2026-06-25 20:05:00,20.39,8.1,378.9,13.7
2026-06-25 20:10:00,19.83,8.15,376.2,11.3
2026-06-25 20:15:00,19.86,8.08,374.3,8.7
2026-06-25 20:20:00,19.38,8.06,377.2,12.4
2026-06-25 20:25:00,19.78,8.12,374.6,8.6
2026-06-25 20:30:00,19.55,8.09,374.5,9.9
2026-06-25 20:35:00,19.49,8.09,374.0,9.7
2026-06-25 20:40:00,19.34,8.0,373.7,11.0
2026-06-25 20:45:00,19.41,8.06,377.5,9.2
2026-06-25 20:50:00,19.18,8.08,374.8,13.2
2026-06-25 20:55:00,18.8,8.06,379.5,10.4
2026-06-25 21:00:00,19.24,8.13,373.4,8.5
2026-06-25 21:05:00,18.91,8.02,376.4,8.6
2026-06-25 21:10:00,18.88,8.08,376.4,10.7
2026-06-25 21:15:00,18.97,8.05,375.2,12.0
2026-06-25 21:20:00,18.53,8.11,375.0,12.0
2026-06-25 21:25:00,18.66,8.04,375.9,13.0
2026-06-25 21:30:00,18.27,8.07,376.8,8.8
2026-06-25 21:35:00,18.49,7.99,375.6,12.3
2026-06-25 21:40:00,18.63,8.1,379.7,15.0
2026-06-25 21:45:00,18.45,8.07,375.6,13.5
2026-06-25 21:50:00,18.38,8.02,377.2,10.6
2026-06-25 21:55:00,18.1,8.12,376.1,10.5
2026-06-25 22:00:00,17.64,8.04,379.1,12.7
2026-06-25 22:05:00,17.88,8.09,377.0,12.8
2026-06-25 22:10:00,17.85,8.02,374.9,10.8
2026-06-25 22:15:00,17.54,8.08,376.9,8.1
2026-06-25 22:20:00,17.84,8.04,376.9,10.9
2026-06-25 22:25:00,17.9,8.02,378.7,8.5
2026-06-25 22:30:00,17.74,8.08,377.6,12.7
2026-06-25 22:35:00,17.57,7.94,377.4,9.7
2026-06-25 22:40:00,17.42,7.96,380.1,12.9
2026-06-25 22:45:00,17.43,8.03,379.7,12.2
2026-06-25 22:50:00,17.33,8.03,378.9,8.5
2026-06-25 22:55:00,17.41,8.08,378.7,5.0
2026-06-25 23:00:00,16.98,8.07,377.2,10.6
2026-06-25 23:05:00,17.15,7.97,378.8,11.6
2026-06-25 23:10:00,17.56,8.01,379.4,11.7
2026-06-25 23:15:00,17.45,7.96,377.6,12.1
2026-06-25 23:20:00,16.79,7.92,380.7,11.1
2026-06-25 23:25:00,17.19,7.92,378.6,12.8
2026-06-25 23:30:00,17.34,7.98,379.3,9.9
2026-06-25 23:35:00,16.68,8.01,381.1,13.5
2026-06-25 23:40:00,17.0,8.04,378.0,11.3
2026-06-25 23:45:00,16.57,8.08,376.3,10.5
2026-06-25 23:50:00,16.94,7.94,377.3,11.1
2026-06-25 23:55:00,16.59,7.94,378.3,10.6
2026-06-26 00:00:00,16.85,7.98,378.4,9.2
2026-06-26 00:05:00,16.37,8.01,376.9,11.1
2026-06-26 00:10:00,16.39,8.03,377.2,8.2
2026-06-26 00:15:00,16.54,7.94,379.1,9.0
2026-06-26 00:20:00,16.48,7.89,379.0,13.0
2026-06-26 00:25:00,16.32,7.98,379.1,9.5
2026-06-26 00:30:00,15.94,7.93,379.6,11.4
2026-06-26 00:35:00,16.5,8.02,380.0,9.0
2026-06-26 00:40:00,16.19,8.01,376.4,11.6
2026-06-26 00:45:00,16.08,8.01,378.4,10.7
2026-06-26 00:50:00,16.1,7.94,378.3,12.3
2026-06-26 00:55:00,16.1,7.92,380.8,8.1
2026-06-26 01:00:00,16.23,8.0,380.6,9.0
2026-06-26 01:05:00,15.88,7.94,379.3,9.7
2026-06-26 01:10:00,15.89,7.94,379.3,10.5
2026-06-26 01:15:00,15.59,7.9,377.4,9.8
2026-06-26 01:20:00,15.98,7.97,378.9,10.8
2026-06-26 01:25:00,15.83,7.86,381.2,10.8
2026-06-26 01:30:00,15.97,7.97,377.2,7.6
2026-06-26 01:35:00,16.19,7.85,382.6,9.2
2026-06-26 01:40:00,15.84,7.93,381.0,11.0
2026-06-26 01:45:00,15.31,7.94,379.3,11.7
2026-06-26 01:50:00,15.67,7.96,382.8,12.0
2026-06-26 01:55:00,15.77,7.93,380.2,9.0
2026-06-26 02:00:00,15.95,7.92,381.5,11.7
2026-06-26 02:05:00,15.48,7.9,381.6,9.5
2026-06-26 02:10:00,15.83,7.94,383.5,12.0
2026-06-26 02:15:00,15.5,7.88,385.5,8.8
2026-06-26 02:20:00,15.85,7.84,383.8,10.1
2026-06-26 02:25:00,15.45,7.92,383.8,8.5
2026-06-26 02:30:00,15.49,7.83,384.3,13.7
2026-06-26 02:35:00,15.72,7.88,384.0,10.6
2026-06-26 02:40:00,15.7,7.87,385.6,10.5
2026-06-26 02:45:00,15.67,7.83,384.1,11.1
2026-06-26 02:50:00,15.64,7.89,385.2,11.0
2026-06-26 02:55:00,15.31,7.87,383.3,8.8
2026-06-26 03:00:00,15.69,7.88,383.3,11.6
2026-06-26 03:05:00,15.71,7.91,384.8,8.9
2026-06-26 03:10:00,15.25,7.8,385.9,13.2
2026-06-26 03:15:00,15.92,7.89,384.7,11.2
2026-06-26 03:20:00,15.97,7.88,385.1,8.0
2026-06-26 03:25:00,15.33,7.89,386.8,12.5
2026-06-26 03:30:00,15.19,7.83,386.1,6.3
2026-06-26 03:35:00,15.58,7.84,386.7,12.2
2026-06-26 03:40:00,15.73,7.9,388.2,11.3
2026-06-26 03:45:00,15.73,7.85,386.0,11.6
2026-06-26 03:50:00,15.81,7.92,380.7,10.0
2026-06-26 03:55:00,15.72,7.9,385.2,11.3
2026-06-26 04:00:00,15.7,7.94,386.1,13.3
2026-06-26 04:05:00,15.62,7.83,388.3,13.3
2026-06-26 04:10:00,15.72,7.91,387.7,8.7
2026-06-26 04:15:00,16.04,7.98,386.6,11.8
2026-06-26 04:20:00,15.59,7.88,383.3,10.0
2026-06-26 04:25:00,15.8,7.95,385.0,8.0
2026-06-26 04:30:00,16.09,7.83,387.5,8.7
2026-06-26 04:35:00,15.82,7.85,385.4,9.2
2026-06-26 04:40:00,16.08,7.87,390.0,7.4
2026-06-26 04:45:00,15.73,7.88,385.3,10.7
2026-06-26 04:50:00,16.15,7.9,384.3,12.3
2026-06-26 04:55:00,16.21,7.83,387.5,11.1
2026-06-26 05:00:00,15.92,7.9,388.0,12.1
2026-06-26 05:05:00,16.29,7.85,387.8,13.1
2026-06-26 05:10:00,16.12,7.85,386.3,11.4
2026-06-26 05:15:00,16.26,7.91,388.3,13.0
2026-06-26 05:20:00,16.18,7.87,387.1,14.6
2026-06-26 05:25:00,16.04,7.87,385.9,12.3
2026-06-26 05:30:00,16.22,7.79,387.4,10.8
2026-06-26 05:35:00,16.81,7.88,386.9,8.8
2026-06-26 05:40:00,16.14,7.85,386.6,9.0
2026-06-26 05:45:00,16.53,7.88,384.2,12.2
2026-06-26 05:50:00,16.2,7.83,388.4,11.9
2026-06-26 05:55:00,16.14,7.88,384.8,12.6
2026-06-26 06:00:00,16.44,7.85,383.8,14.7
2026-06-26 06:05:00,16.82,7.98,384.2,9.9
2026-06-26 06:10:00,16.73,7.8,384.7,9.3
2026-06-26 06:15:00,16.67,7.89,385.0,12.0
2026-06-26 06:20:00,16.66,7.87,382.6,10.5
2026-06-26 06:25:00,16.74,7.88,384.7,12.6
2026-06-26 06:30:00,16.98,7.98,385.7,12.5
2026-06-26 06:35:00,16.85,7.81,384.6,12.7
2026-06-26 06:40:00,17.06,7.86,384.5,11.5
2026-06-26 06:45:00,16.81,7.82,385.3,9.3
2026-06-26 06:50:00,16.86,7.87,384.5,12.5
2026-06-26 06:55:00,17.36,7.86,385.4,12.3
2026-06-26 07:00:00,17.25,7.9,385.9,10.2
2026-06-26 07:05:00,17.34,7.82,382.5,14.2
2026-06-26 07:10:00,17.35,7.91,383.4,10.1
2026-06-26 07:15:00,17.55,7.81,384.1,11.6
2026-06-26 07:20:00,17.49,7.91,385.9,14.2
2026-06-26 07:25:00,17.58,7.93,383.4,13.7
2026-06-26 07:30:00,17.8,7.99,382.9,9.8
2026-06-26 07:35:00,17.91,7.88,381.8,11.6
2026-06-26 07:40:00,17.81,7.92,382.8,12.3
2026-06-26 07:45:00,17.75,7.89,384.5,7.1
2026-06-26 07:50:00,18.09,7.83,383.3,11.2
2026-06-26 07:55:00,17.99,7.88,381.2,11.6
2026-06-26 08:00:00,18.21,7.97,383.2,12.4
2026-06-26 08:05:00,18.18,7.96,385.6,8.3
2026-06-26 08:10:00,18.08,8.0,381.7,11.1
2026-06-26 08:15:00,18.27,7.86,382.3,7.9
2026-06-26 08:20:00,18.6,7.98,381.8,8.2
2026-06-26 08:25:00,18.62,7.99,382.8,9.2
2026-06-26 08:30:00,18.55,7.95,384.4,8.7
2026-06-26 08:35:00,18.97,7.79,385.0,11.5
2026-06-26 08:40:00,18.58,7.94,379.6,10.7
2026-06-26 08:45:00,18.83,7.88,383.8,12.3
2026-06-26 08:50:00,19.01,7.99,384.8,11.1
2026-06-26 08:55:00,19.07,7.9,384.3,12.4
2026-06-26 09:00:00,18.87,7.97,383.1,13.5
2026-06-26 09:05:00,19.33,7.85,381.4,10.7
2026-06-26 09:10:00,19.41,8.0,381.6,13.6
2026-06-26 09:15:00,19.11,8.02,384.6,10.7
2026-06-26 09:20:00,19.48,7.95,385.6,10.4
2026-06-26 09:25:00,19.49,7.9,385.3,10.2
2026-06-26 09:30:00,19.41,7.88,386.2,11.4
2026-06-26 09:35:00,19.52,7.88,387.7,7.7
2026-06-26 09:40:00,19.75,8.07,384.0,11.5
2026-06-26 09:45:00,19.45,8.01,384.2,9.8
2026-06-26 09:50:00,19.84,8.06,387.0,8.8
2026-06-26 09:55:00,19.68,7.96,383.2,14.4
2026-06-26 10:00:00,19.76,8.03,387.0,11.4
2026-06-26 10:05:00,19.77,7.92,384.4,9.2
2026-06-26 10:10:00,20.3,7.93,385.4,13.0
2026-06-26 10:15:00,20.22,8.0,386.2,12.3
2026-06-26 10:20:00,20.16,7.96,385.5,10.2
2026-06-26 10:25:00,20.59,7.98,386.6,9.3
2026-06-26 10:30:00,20.36,8.1,386.7,7.2
2026-06-26 10:35:00,20.38,8.11,386.7,9.6
2026-06-26 10:40:00,20.55,8.01,382.5,9.9
2026-06-26 10:45:00,20.74,8.06,385.6,14.2
2026-06-26 10:50:00,20.73,7.96,385.3,12.3
2026-06-26 10:55:00,20.66,8.05,386.5,11.2
2026-06-26 11:00:00,20.68,8.01,387.0,10.3
2026-06-26 11:05:00,21.13,8.08,387.8,12.2
2026-06-26 11:10:00,20.91,8.11,386.7,7.7
2026-06-26 11:15:00,21.32,7.95,386.5,11.2
2026-06-26 11:20:00,20.99,8.02,383.8,9.3
2026-06-26 11:25:00,21.06,8.03,386.3,12.3
2026-06-26 11:30:00,21.5,8.01,388.2,11.7
2026-06-26 11:35:00,21.16,8.08,386.7,10.4
2026-06-26 11:40:00,21.66,7.99,388.3,7.3
2026-06-26 11:45:00,21.33,8.03,386.3,10.4
2026-06-26 11:50:00,21.66,7.98,388.1,12.1
2026-06-26 11:55:00,21.75,8.04,387.1,11.0
2026-06-26 12:00:00,21.79,8.07,384.7,10.5
2026-06-26 12:05:00,21.67,8.08,384.7,10.4
2026-06-26 12:10:00,21.66,8.04,386.7,12.4
2026-06-26 12:15:00,21.54,8.08,385.1,13.1
2026-06-26 12:20:00,21.79,8.09,385.0,13.1
2026-06-26 12:25:00,21.5,8.04,384.4,7.2
2026-06-26 12:30:00,21.81,8.02,380.0,6.9
2026-06-26 12:35:00,21.5,8.02,383.6,10.1
2026-06-26 12:40:00,21.74,8.1,383.9,13.9
2026-06-26 12:45:00,21.94,8.11,382.3,11.6
2026-06-26 12:50:00,22.23,8.1,385.9,12.9
2026-06-26 12:55:00,22.5,8.06,382.3,8.0
2026-06-26 13:00:00,22.07,8.01,383.4,10.3
2026-06-26 13:05:00,22.26,8.09,384.7,66.1
2026-06-26 13:10:00,22.38,8.11,382.4,65.5
2026-06-26 13:15:00,21.74,8.14,385.0,69.2
2026-06-26 13:20:00,22.19,8.09,383.1,71.3
2026-06-26 13:25:00,22.34,8.11,383.2,70.7
2026-06-26 13:30:00,22.32,8.14,384.1,67.9
2026-06-26 13:35:00,22.58,8.12,385.8,65.8
2026-06-26 13:40:00,22.39,8.21,383.3,64.9
2026-06-26 13:45:00,21.94,8.11,381.3,64.9
2026-06-26 13:50:00,22.47,8.15,384.4,67.2
2026-06-26 13:55:00,22.94,8.02,381.2,67.8
2026-06-26 14:00:00,22.47,8.02,382.3,67.8
2026-06-26 14:05:00,22.47,8.06,382.9,10.8
2026-06-26 14:10:00,22.46,8.12,385.6,9.6
2026-06-26 14:15:00,22.55,8.08,385.8,9.8
2026-06-26 14:20:00,22.51,8.16,382.0,8.9
2026-06-26 14:25:00,22.18,8.14,384.3,11.6
2026-06-26 14:30:00,22.56,8.11,384.7,8.1
2026-06-26 14:35:00,22.59,8.2,382.0,14.2
2026-06-26 14:40:00,22.97,8.18,388.8,12.5
2026-06-26 14:45:00,22.68,8.17,384.6,11.7
2026-06-26 14:50:00,22.23,8.09,385.8,13.3
2026-06-26 14:55:00,22.88,8.15,385.2,12.3
2026-06-26 15:00:00,22.35,8.2,387.4,9.1
2026-06-26 15:05:00,22.27,8.13,388.3,10.6
2026-06-26 15:10:00,22.37,8.1,388.9,12.1
2026-06-26 15:15:00,22.32,8.09,384.2,13.8
2026-06-26 15:20:00,22.59,8.08,389.5,11.4
2026-06-26 15:25:00,22.44,8.12,387.7,12.2
2026-06-26 15:30:00,22.56,8.2,390.8,69.6
2026-06-26 15:35:00,22.69,8.19,390.2,73.6
2026-06-26 15:40:00,22.5,8.11,385.3,65.8
2026-06-26 15:45:00,22.83,8.13,391.8,70.1
2026-06-26 15:50:00,22.18,8.23,388.3,68.7
2026-06-26 15:55:00,22.48,8.17,388.8,140.0
